id,province,adl_katz_score,net_family_income_cad,has_dtc,is_veteran,sensitivity_case,private_pay_annual_cad,out_of_pocket_before_credits_annual_cad,metc_qualifying_amount_cad,metc_federal_value_cad,metc_provincial_value_cad,metc_credit_value_cad,dtc_credit_value_cad,ccc_credit_value_cad,vac_vip_credit_value_cad,total_credits_value_cad,out_of_pocket_after_credits_annual_cad,effective_credit_fraction_of_oop
139,BC,2,150000,True,False,dtc_only,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,1957.86,0.0,0.0,8364.9,26294.64,0.2413
140,BC,2,150000,True,True,dtc_and_vip,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,1957.86,0.0,12396.0,20760.9,13898.64,0.599
141,BC,3,25000,False,False,baseline,67460.82,26663.35,25913.35,3887.0,1311.22,5198.22,0.0,548.27,0.0,5746.49,20916.86,0.2155
142,BC,3,25000,False,True,vip_only,67460.82,26663.35,25913.35,3887.0,1311.22,5198.22,0.0,548.27,12396.0,18142.49,8520.86,0.6804
143,BC,3,25000,True,False,dtc_only,67460.82,26663.35,25913.35,3887.0,1311.22,5198.22,1957.86,548.27,0.0,7704.35,18959.0,0.2889
144,BC,3,25000,True,True,dtc_and_vip,67460.82,26663.35,25913.35,3887.0,1311.22,5198.22,1957.86,548.27,12396.0,20100.35,6563.0,0.7539
145,BC,3,50000,False,False,baseline,67460.82,26663.35,25163.35,3774.5,1273.27,5047.77,0.0,0.0,0.0,5047.77,21615.58,0.1893
146,BC,3,50000,False,True,vip_only,67460.82,26663.35,25163.35,3774.5,1273.27,5047.77,0.0,0.0,12396.0,17443.77,9219.58,0.6542
147,BC,3,50000,True,False,dtc_only,67460.82,26663.35,25163.35,3774.5,1273.27,5047.77,1957.86,0.0,0.0,7005.63,19657.72,0.2627
148,BC,3,50000,True,True,dtc_and_vip,67460.82,26663.35,25163.35,3774.5,1273.27,5047.77,1957.86,0.0,12396.0,19401.63,7261.72,0.7277
149,BC,3,75000,False,False,baseline,67460.82,26663.35,24413.35,3662.0,1235.32,4897.32,0.0,0.0,0.0,4897.32,21766.03,0.1837
150,BC,3,75000,False,True,vip_only,67460.82,26663.35,24413.35,3662.0,1235.32,4897.32,0.0,0.0,12396.0,17293.32,9370.03,0.6486
151,BC,3,75000,True,False,dtc_only,67460.82,26663.35,24413.35,3662.0,1235.32,4897.32,1957.86,0.0,0.0,6855.18,19808.17,0.2571
152,BC,3,75000,True,True,dtc_and_vip,67460.82,26663.35,24413.35,3662.0,1235.32,4897.32,1957.86,0.0,12396.0,19251.18,7412.17,0.722
153,BC,3,100000,False,False,baseline,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,0.0,0.0,0.0,4803.01,21860.34,0.1801
154,BC,3,100000,False,True,vip_only,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,0.0,0.0,12396.0,17199.01,9464.34,0.645
155,BC,3,100000,True,False,dtc_only,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,1957.86,0.0,0.0,6760.86,19902.49,0.2536
156,BC,3,100000,True,True,dtc_and_vip,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,1957.86,0.0,12396.0,19156.86,7506.49,0.7185
